sitecode,d13c_algae,d13c_aqbase,d13c_det,d13c_norm_algae,d13c_norm_aqbase,d13c_norm_det,d13c_norm_terbase,d13c_terbase,d15n_algae,d15n_aqbase,d15n_det,d15n_terbase,dh2_algae,dh2_aqbase,dh2_det,dh2_terbase,,
AC,-18.46317496,-28.92846499,-28.35108428,-10.38361798,-26.81579132,-7.922992789,-25.32895667,-26.85641291,14.06467451,13.13606523,6.477838047,-2.439897695,-155.7,-125.93,-115.23,-79.895,,1
AT,-23.57284873,NA,-27.75370551,-20.95655799,NA,-9.086055036,-26.24412698,-27.6746115,10.32360395,NA,6.572959935,7.334173507,-159.9166667,-139.63,-113.3933333,-112.8666667,,2
BG,-24.38377778,NA,-27.36266667,-8.85508131,NA,-4.743244245,-26.93400598,-29.48146503,4.299222222,NA,1.995666667,1.297976344,-108.5066667,-82.35,-115.0633333,-137.4866667,,3
BS,-27.67066667,-28.175,-27.04666667,-9.502083334,-26.7933774,1.710392326,-30.18793567,-31.166,0.998333333,4.3445,0.601777778,1.899666667,-120.1866667,-105.995,-116.2466667,-105.4433333,,4
BW,-32.037,-29.768,-28.259,-27.32115322,-28.10663559,-9.804641581,-25.69135863,-28.307,8.436333333,6.1195,2.455444444,0.138333333,-179.83,-101.715,-96.26,-100.64,,5
DE,-27.6045,NA,-28.26133333,-17.73791758,NA,-9.386085133,-27.82362981,-29.22033333,5.3075,NA,1.875333333,-0.225,-137.43,NA,-108.1433333,-101.14,,6
EP1,-33.53033333,-29.508,-28.62733333,-25.69652803,-27.00384678,-6.724995506,-25.11259132,-26.144,11.999,9.527666667,5.28,2.179666667,-106.8666667,-154.9566667,-99.33,-83.05,,7
EP2,-31.66333333,NA,NA,-22.9000109,NA,NA,NA,NA,8.839666667,NA,NA,NA,-113.4666667,NA,NA,-101.7466667,,8
EP3,-36.235,NA,NA,-32.00065803,NA,NA,NA,NA,10.0075,NA,NA,NA,-122.63,NA,NA,-102.6566667,,9
EP4,-31.48829714,NA,-27.76801495,-25.53503463,NA,-8.077147468,-25.32379572,-26.46572938,7.585144922,NA,0.349248133,0.731986772,-135.0366667,NA,-107.69,-28.92333333,,10
FP,-30.45342165,NA,-27.89233333,-18.8288534,NA,12.65129672,-24.9927929,-25.799,5.493899574,NA,6.515,-0.203,-107.655,NA,-103.63,-84.82,,11
GF,-22.86699832,-24.04334243,-28.58195871,-15.58502425,-21.52548069,-5.332574432,-28.53594564,-29.42901083,12.4160636,14.62938333,6.365977856,0.612901677,-173.22,-138.9233333,-113.4666667,-98.15,,12
HC,-23.45063065,-29.23514333,-27.47402508,-11.0334311,-27.967649,-4.81148667,-27.28574706,-28.19207759,9.715760284,12.16288794,1.489188638,1.039370903,-161.1566667,-125.89,-115,-108.4266667,,13
HT,-33.563,-26.918,-27.37325,-27.31777201,-25.61852705,-13.01340991,-21.9280684,-23.198,7.731333333,9.531,4.074875,-0.048333333,-145.9933333,-136.065,-102.53,-82.91333333,,14
JC,-33.775,-31.0959839,-28.1448474,-26.54812066,-29.43299005,-14.02003851,-26.98131731,-29.19077806,11.979,11.83610621,5.707645302,1.923469104,-111.1966667,-118.8166667,-101.8866667,-140.4166667,,15
JW,-19.6694874,-28.5208828,-27.7294873,-10.69809956,-27.43539577,9.184217911,-27.30592444,-28.34977726,8.723250945,10.86446727,2.710442372,0.490386066,-158.8066667,-132.755,-111.5733333,-110.245,,16
KC,-20.38408344,NA,-27.72697195,-10.11977153,NA,-5.573173393,-26.46656821,-27.34389974,10.93600176,NA,2.637421227,0.821801974,-131.4466667,NA,-100.2633333,-92.95,,17
LEF,-29.88056049,NA,NA,-25.31682953,NA,NA,-26.48974881,-29.22838949,7.97963093,NA,NA,-0.164277355,-169.15,NA,NA,-122.06,,18
LEST,-20.12566667,-30.382,-25.58066667,-4.066651696,-28.73830191,-7.648389486,-27.35808032,-28.8256,5.543666667,7.3325,0.955333333,0.7448,-104.0733333,-103.435,-97.84,-83.852,,19
MT,-27.74033333,-27.57466667,-26.03533333,-12.39580266,-25.07359299,-18.19186258,-24.7069928,-26.213,2.147333333,7.593666667,6.859,7.725666667,-99.69,-121.2866667,-149.0366667,-113.3533333,,20
PF,-29.06120551,-29.18969017,-28.68137517,-17.31544863,-27.81124338,-6.820076799,-25.30432015,-26.4918877,5.098214971,12.5997039,6.874980756,0.552000394,-127.49,-131.32,-95.45666667,-80.06666667,,21
PVTF,-31.78838738,-27.97008126,-27.95606436,-27.30750953,-26.45421479,-8.462610006,-25.57563739,-26.54899765,7.798776967,8.535984464,3.569172966,1.008627142,-124.57,-136.59,-100.22,-92.87333333,,22
SC,-28.33566667,-33.614,-29.11166667,-17.43122186,-24.44013993,-14.67221258,-25.20576323,-26.16333333,5.070333333,0.211,1.339333333,3.362333333,-123.8733333,-116.1,-96.76333333,-89.35666667,,23
UH,-28.19,-34.00714942,-26.45423362,-18.8875,-31.7390306,2.085185014,-25.79600451,-27.37063029,5.53,4.858102199,-0.711754475,0.0680614,-114.44,-187.72,-109.7833333,-116.84,,24
VN,-29.72539406,NA,-28.53082666,-20.55074059,NA,-9.077469461,-24.71839621,-26.56084639,5.617531972,NA,1.531105087,1.439508366,-167.05,NA,-110.5633333,-96.7075,,25
WA,-26.09737406,-28.77320863,-24.44772262,-17.14964931,-27.9757861,-4.454145548,-24.65647971,-25.91196087,11.6559945,10.82519485,5.068111347,2.351576373,-187.6033333,-112.855,-106.1,-104.3733333,,26
WH,NA,-28.0354258,-26.38380685,NA,-26.6407941,-15.1173612,-28.54429471,-29.66954949,NA,9.618074168,1.912291779,2.737216415,NA,-134.4566667,-94.57333333,-97.5375,,27
WW,-20.245,-26.609,-27.33533333,-10.17240506,-25.24102928,-6.409422946,-25.05704633,-26.29622222,5.5495,5.943,2.2,-0.136,-163.02,-94.41,-96.66666667,-84.74333333,,28
,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,,
